Time,proximity,ambient,leanForward,qW,qX,qY,qZ,aX,aY,aZ
1499782083000,3733,321,41.381329,-0.908936,0.07067899999999999,-0.346191,-0.221375,-0.11,0.09,-0.11
1499782083055,3707,321,41.356476,-0.908752,0.067383,-0.346619,-0.222412,-0.11,0.41,-0.11
1499782083111,3691,321,41.42942,-0.908875,0.062622,-0.348145,-0.221008,-0.31,0.16,-0.31
1499782083166,3661,321,41.663164,-0.909424,0.057373,-0.350952,-0.215576,-0.15,0.45,-0.15
1499782083222,3610,321,42.002313,-0.911133,0.050293,-0.354858,-0.203491,0.13,-0.21,0.13
1499782083277,3595,321,41.946199,-0.911255,0.049744,-0.354431,-0.203674,0.16,-0.17,0.16
1499782083333,3579,321,41.775006,-0.911194,0.052002,-0.352722,-0.206421,0.2,0.24,0.2
1499782083388,3562,321,41.568045,-0.911621,0.053711,-0.350769,-0.207458,0.09,0.18,0.09
1499782083444,3557,399,41.566214,-0.912537,0.052612,-0.350891,-0.203369,-0.08,0.13,-0.08
1499782083500,3545,399,41.716982,-0.913025,0.050049,-0.352539,-0.199036,-0.16,-0.14,-0.16
1499782083555,3546,399,41.926313,-0.914062,0.044617,-0.35498,-0.19104,0.01,-0.22,0.01
1499782083611,3525,399,41.826556,-0.915344,0.041016,-0.354614,-0.186401,-0.11,-0.58,-0.11
1499782083666,3518,399,41.187354,-0.916931,0.041382,-0.349304,-0.188477,-0.5,0.08,-0.5
1499782083722,3504,399,40.611105,-0.91864,0.041809,-0.344482,-0.188843,-0.24,0.39,-0.24
1499782083777,3504,399,40.211564,-0.920471,0.039062,-0.341492,-0.185852,-0.22,-0.23,-0.22
1499782083833,3502,399,39.393483,-0.924072,0.033508,-0.335327,-0.180176,0.0,0.24,0.0
1499782083888,3503,399,38.865971,-0.925476,0.032349,-0.331116,-0.181091,0.09,0.3,0.09
1499782083944,3493,397,37.942214,-0.927002,0.034485,-0.32324200000000003,-0.187012,-0.32,-0.11,-0.32
1499782084000,3489,397,37.0048,-0.927063,0.039795,-0.314819,-0.199585,-0.7,0.43,-0.7
1499782084052,3478,397,36.13572,-0.926514,0.04718,-0.306519,-0.213013,-0.29,-0.52,-0.29
1499782084105,3471,397,35.703619,-0.92511,0.0578,-0.301025,-0.223999,-0.53,-0.48,-0.53
1499782084157,3465,397,35.83305900000001,-0.922791,0.07104500000000001,-0.299316,-0.231995,0.12,-0.56,0.12
1499782084210,3468,397,36.030536,-0.91925,0.090393,-0.29577600000000004,-0.243591,0.45,-0.51,0.45
1499782084263,3449,397,35.901722,-0.916321,0.10791,-0.288696,-0.255676,0.1,-0.32,0.1
1499782084315,3446,397,35.951282,-0.913269,0.1203,-0.28418000000000004,-0.265869,0.26,-0.07,0.26
1499782084368,3444,397,36.111566,-0.911133,0.127563,-0.282471,-0.271606,0.36,-0.25,0.36
1499782084421,3435,397,36.386492,-0.909302,0.134888,-0.281555,-0.275085,0.32,-0.27,0.32
1499782084473,3433,462,36.573158,-0.908081,0.136292,-0.282593,-0.277344,0.22,-0.07,0.22
1499782084526,3431,462,36.931276,-0.906982,0.13708499999999998,-0.285522,-0.277588,0.46,0.33,0.46
1499782084578,3432,462,37.31061500000001,-0.906372,0.136353,-0.289368,-0.276001,0.54,0.24,0.54
1499782084631,3429,462,37.452602,-0.906616,0.13409400000000002,-0.291748,-0.273865,0.29,0.11,0.29
1499782084684,3427,462,37.607214,-0.906616,0.131226,-0.294373,-0.272278,0.41,0.11,0.41
1499782084736,3430,462,37.948206,-0.906433,0.127502,-0.299072,-0.269531,0.28,0.15,0.28
1499782084789,3428,462,38.53445900000001,-0.90509,0.124146,-0.305725,-0.26818800000000004,0.61,0.06,0.61
1499782084842,3434,462,38.864368,-0.904175,0.120178,-0.310242,-0.267944,0.35,0.13,0.35
1499782084894,3430,462,39.249478,-0.903442,0.11676,-0.314941,-0.266479,-0.13,-0.12,-0.13
1499782084947,3433,462,40.02656,-0.901489,0.113525,-0.322876,-0.264954,0.08,0.01,0.08
1499782085000,3431,481,41.390765,-0.897278,0.109924,-0.335876,-0.264587,-0.47,0.14,-0.47
1499782085052,3434,481,42.435229,-0.8941040000000001,0.110718,-0.344543,-0.26379400000000003,-0.29,0.15,-0.29
1499782085105,3439,481,43.474336,-0.890991,0.113281,-0.3526,-0.26263400000000003,-0.04,0.17,-0.04
1499782085157,3440,481,44.291834,-0.8886719999999999,0.115479,-0.35882600000000003,-0.261047,-0.59,-0.24,-0.59
1499782085210,3442,481,45.026064,-0.885986,0.118103,-0.364197,-0.261536,-0.47,0.04,-0.47
1499782085263,3443,481,45.687215,-0.883423,0.119568,-0.369385,-0.26245100000000005,-0.46,0.06,-0.46
1499782085315,3445,481,46.119623,-0.8812260000000001,0.120117,-0.372803,-0.264587,-0.17,0.26,-0.17
1499782085368,3443,481,46.525651,-0.8797,0.119324,-0.376526,-0.264893,-0.29,-0.03,-0.29
1499782085421,3438,481,46.921398,-0.878052,0.117798,-0.380249,-0.26550300000000004,-0.03,0.13,-0.03
1499782085473,3441,481,46.960879,-0.877869,0.116211,-0.381104,-0.26568600000000003,0.01,0.04,0.01
1499782085526,3435,697,46.795368,-0.8781129999999999,0.115234,-0.380005,-0.266846,0.01,0.18,0.01
1499782085578,3441,697,46.501705,-0.8798219999999999,0.109375,-0.379333,-0.264771,0.07,-0.01,0.07
1499782085631,3435,697,46.35615900000001,-0.880066,0.106873,-0.378784,-0.265625,0.08,-0.03,0.08
1499782085684,3433,697,46.196369,-0.880188,0.106201,-0.377625,-0.26709,0.08,-0.14,0.08
1499782085736,3437,697,45.927303,-0.880432,0.106323,-0.375366,-0.26947,-0.06,-0.2,-0.06
1499782085789,3432,697,45.713853,-0.8798219999999999,0.106812,-0.373413,-0.273865,-0.01,0.12,-0.01
1499782085842,3430,697,45.684486,-0.878906,0.107971,-0.372864,-0.277161,0.31,0.53,0.31
1499782085894,3432,697,45.59682700000001,-0.8799440000000001,0.106201,-0.372681,-0.274902,0.1,0.21,0.1
1499782085947,3427,697,45.523418,-0.882202,0.102356,-0.373108,-0.268372,0.14,0.02,0.14
1499782086000,3429,697,45.377151,-0.883972,0.098999,-0.372803,-0.264221,-0.09,-0.07,-0.09
1499782086055,3429,693,45.434441,-0.884216,0.097412,-0.373718,-0.262756,0.1,0.04,0.1
1499782086111,3428,693,45.548504,-0.884094,0.097046,-0.374695,-0.261719,-0.11,0.03,-0.11
1499782086166,3421,693,45.613837,-0.8837280000000001,0.096558,-0.375427,-0.262268,-0.23,-0.28,-0.23
1499782086222,3425,693,45.660527,-0.8828739999999999,0.097839,-0.375488,-0.264587,0.03,0.2,0.03
1499782086277,3428,693,45.656333,-0.8822629999999999,0.099854,-0.374878,-0.266602,-0.04,-0.15,-0.04
1499782086333,3423,693,45.676837,-0.88208,0.102234,-0.374451,-0.267029,0.14,0.05,0.14
1499782086388,3428,693,45.618056,-0.881775,0.105042,-0.373108,-0.268616,0.16,-0.18,0.16
1499782086444,3426,693,45.543019,-0.88208,0.1073,-0.371887,-0.26855500000000004,0.12,0.04,0.12
1499782086500,3429,693,45.502768,-0.882141,0.109436,-0.370911,-0.26879899999999995,0.04,-0.2,0.04
1499782086555,3425,693,45.426215,-0.882019,0.111572,-0.369629,-0.270081,-0.02,-0.23,-0.02
1499782086611,3424,765,45.41049,-0.8812260000000001,0.113464,-0.368958,-0.272888,-0.14,0.14,-0.14
1499782086666,3427,765,45.493936,-0.8805540000000001,0.11303699999999997,-0.369751,-0.274048,0.24,0.54,0.24
1499782086722,3424,765,45.309336,-0.882141,0.107727,-0.369812,-0.271057,0.23,-0.01,0.23
1499782086777,3421,765,44.990264,-0.8846440000000001,0.097839,-0.369873,-0.266479,0.29,-0.04,0.29
1499782086833,3423,765,44.931369,-0.884827,0.095459,-0.369995,-0.266541,-0.11,0.06,-0.11
1499782086888,3422,765,44.928974,-0.8845209999999999,0.09436,-0.3703,-0.267639,-0.23,-0.05,-0.23
1499782086944,3424,765,45.051733,-0.8832399999999999,0.094788,-0.371216,-0.270447,-0.09,-0.1,-0.09
1499782087000,3421,765,45.153049,-0.882141,0.095764,-0.3718260000000001,-0.272888,-0.12,0.13,-0.12
1499782087055,3419,765,45.16852,-0.881409,0.09613,-0.3718260000000001,-0.275024,0.0,0.15,0.0
1499782087111,3419,765,45.078186,-0.881531,0.096252,-0.371033,-0.275635,0.3,0.03,0.3
